Serial Number	Name	Value
A-000-000-822	Horse	1000.00
A-000-000-823	Horse	1000.00
A-000-000-824	Horse	1000.00
A-000-000-825	Horse	1000.00
A-000-000-826	Horse	1000.00
A-000-000-827	Horse	1000.00
A-000-000-828	Horse	1000.00
A-000-000-829	Horse	1000.00
A-000-000-830	Horse	1000.00
A-000-000-831	Horse	1000.00
A-000-000-832	Horse	1000.00
A-000-000-833	Horse	1000.00
A-000-000-834	Horse	1000.00
A-000-000-835	Horse	1000.00
A-000-000-836	Horse	1000.00
A-000-000-837	Horse	1000.00
A-000-000-838	Horse	1000.00
A-000-000-839	Horse	1000.00
A-000-000-840	Horse	1000.00
A-000-000-841	Horse	1000.00
A-000-000-842	Horse	1000.00
A-000-000-843	Horse	1000.00
A-000-000-844	Horse	1000.00
A-000-000-845	Horse	1000.00
A-000-000-846	Horse	1000.00
A-000-000-847	Horse	1000.00
A-000-000-848	Horse	1000.00
A-000-000-849	Horse	1000.00
A-000-000-850	Horse	1000.00
A-000-000-851	Horse	1000.00
A-000-000-852	Horse	1000.00
A-000-000-853	Horse	1000.00
A-000-000-854	Horse	1000.00
A-000-000-855	Horse	1000.00
A-000-000-856	Horse	1000.00
A-000-000-857	Horse	1000.00
A-000-000-858	Horse	1000.00
A-000-000-859	Horse	1000.00
A-000-000-860	Horse	1000.00
A-000-000-861	Horse	1000.00
A-000-000-862	Horse	1000.00
A-000-000-863	Horse	1000.00
A-000-000-864	Horse	1000.00
A-000-000-865	Horse	1000.00
A-000-000-866	Horse	1000.00
A-000-000-867	Horse	1000.00
A-000-000-868	Horse	1000.00
A-000-000-869	Horse	1000.00
A-000-000-870	Horse	1000.00
A-000-000-871	Horse	1000.00
A-000-000-872	Horse	1000.00
A-000-000-873	Horse	1000.00
A-000-000-874	Horse	1000.00
A-000-000-875	Horse	1000.00
A-000-000-876	Horse	1000.00
A-000-000-877	Horse	1000.00
A-000-000-878	Horse	1000.00
A-000-000-879	Horse	1000.00
A-000-000-880	Horse	1000.00
A-000-000-881	Horse	1000.00
A-000-000-882	Horse	1000.00
A-000-000-883	Horse	1000.00
A-000-000-884	Horse	1000.00
A-000-000-885	Horse	1000.00
A-000-000-886	Horse	1000.00
A-000-000-887	Horse	1000.00
A-000-000-888	Horse	1000.00
A-000-000-889	Horse	1000.00
A-000-000-890	Horse	1000.00
A-000-000-891	Horse	1000.00
A-000-000-892	Horse	1000.00
A-000-000-893	Horse	1000.00
A-000-000-894	Horse	1000.00
A-000-000-895	Horse	1000.00
A-000-000-896	Horse	1000.00
A-000-000-897	Horse	1000.00
A-000-000-898	Horse	1000.00
A-000-000-899	Horse	1000.00
A-000-000-900	Horse	1000.00
A-000-000-901	Horse	1000.00
A-000-000-902	Horse	1000.00
A-000-000-903	Horse	1000.00
A-000-000-904	Horse	1000.00
A-000-000-905	Horse	1000.00
A-000-000-906	Horse	1000.00
A-000-000-907	Horse	1000.00
A-000-000-908	Horse	1000.00
A-000-000-909	Horse	1000.00
A-000-000-910	Horse	1000.00
A-000-000-911	Horse	1000.00
A-000-000-912	Horse	1000.00
A-000-000-913	Horse	1000.00
A-000-000-914	Horse	1000.00
A-000-000-915	Horse	1000.00
A-000-000-916	Horse	1000.00
A-000-000-917	Horse	1000.00
A-000-000-918	Horse	1000.00
A-000-000-919	Horse	1000.00
A-000-000-920	Horse	1000.00
A-000-000-921	Horse	1000.00
A-000-000-922	Horse	1000.00
A-000-000-923	Horse	1000.00
A-000-000-924	Horse	1000.00
A-000-000-925	Horse	1000.00
A-000-000-926	Horse	1000.00
A-000-000-927	Horse	1000.00
A-000-000-928	Horse	1000.00
A-000-000-929	Horse	1000.00
A-000-000-930	Horse	1000.00
A-000-000-931	Horse	1000.00
A-000-000-932	Horse	1000.00
A-000-000-933	Horse	1000.00
A-000-000-934	Horse	1000.00
A-000-000-935	Horse	1000.00
A-000-000-936	Horse	1000.00
A-000-000-937	Horse	1000.00
A-000-000-938	Horse	1000.00
A-000-000-939	Horse	1000.00
A-000-000-940	Horse	1000.00
A-000-000-941	Horse	1000.00
A-000-000-942	Horse	1000.00
A-000-000-943	Horse	1000.00
A-000-000-944	Horse	1000.00
A-000-000-945	Horse	1000.00
A-000-000-946	Horse	1000.00
A-000-000-947	Horse	1000.00
A-000-000-948	Horse	1000.00
A-000-000-949	Horse	1000.00
A-000-000-950	Horse	1000.00
A-000-000-951	Horse	1000.00
A-000-000-952	Horse	1000.00
A-000-000-953	Horse	1000.00
A-000-000-954	Horse	1000.00
A-000-000-955	Horse	1000.00
A-000-000-956	Horse	1000.00
A-000-000-957	Horse	1000.00
A-000-000-958	Horse	1000.00
A-000-000-959	Horse	1000.00
A-000-000-960	Horse	1000.00
A-000-000-961	Horse	1000.00
A-000-000-962	Horse	1000.00
A-000-000-963	Horse	1000.00
A-000-000-964	Horse	1000.00
A-000-000-965	Horse	1000.00
A-000-000-966	Horse	1000.00
A-000-000-967	Horse	1000.00
A-000-000-968	Horse	1000.00
A-000-000-969	Horse	1000.00
A-000-000-970	Horse	1000.00
A-000-000-971	Horse	1000.00
A-000-000-972	Horse	1000.00
A-000-000-973	Horse	1000.00
A-000-000-974	Horse	1000.00
A-000-000-975	Horse	1000.00
A-000-000-976	Horse	1000.00
A-000-000-977	Horse	1000.00
A-000-000-978	Horse	1000.00
A-000-000-979	Horse	1000.00
A-000-000-980	Horse	1000.00
A-000-000-981	Horse	1000.00
A-000-000-982	Horse	1000.00
A-000-000-983	Horse	1000.00
A-000-000-984	Horse	1000.00
A-000-000-985	Horse	1000.00
A-000-000-986	Horse	1000.00
A-000-000-987	Horse	1000.00
A-000-000-988	Horse	1000.00
A-000-000-989	Horse	1000.00
A-000-000-990	Horse	1000.00
A-000-000-991	Horse	1000.00
A-000-000-992	Horse	1000.00
A-000-000-993	Horse	1000.00
A-000-000-994	Horse	1000.00
A-000-000-995	Horse	1000.00
A-000-000-996	Horse	1000.00
A-000-000-997	Horse	1000.00
A-000-000-998	Horse	1000.00
A-000-000-999	Horse	1000.00
A-000-999-000	Horse	1000.00
A-000-999-100	Horse	1000.00
A-000-999-200	Horse	1000.00
A-000-999-300	Horse	1000.00
A-000-999-400	Horse	1000.00
A-000-999-500	Horse	1000.00
A-000-999-600	Horse	1000.00
A-000-999-700	Horse	1000.00
A-000-999-800	Horse	1000.00
A-000-999-900	Horse	1000.00
A-000-999-100	Horse	1000.00
A-000-999-110	Horse	1000.00
A-000-999-120	Horse	1000.00
A-000-999-130	Horse	1000.00
A-000-999-140	Horse	1000.00
A-000-999-150	Horse	1000.00
A-000-999-160	Horse	1000.00
A-000-999-170	Horse	1000.00
A-000-999-180	Horse	1000.00
A-000-999-190	Horse	1000.00
A-000-999-200	Horse	1000.00
A-000-999-210	Horse	1000.00
A-000-999-220	Horse	1000.00
A-000-999-230	Horse	1000.00
A-000-999-240	Horse	1000.00
